,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,trending,gitee_id,gitee_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,npm_id,dependent_project_count,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,docs_url,new_addition,updated_github_id
124,WebvpnExploit,https://webvpn.bit.edu.cn/https/77726476706e69737468656265737421e7f2438a373e2652771cc7b69d5b2730bb0f351d/,BIT-BOBH/WebvpnExploit,edu-cn,['web'],https://github.com/BIT-BOBH/WebvpnExploit,,2022-10-09 12:22:25,2022-10-13 15:44:58,2022-10-13 15:44:52,13.0,,,,,,,1.0,,,,,,Exploit of cross domain vulnerabilities of webvpn.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,BIT WebVPN URL 双向转换器（浏览器扩展）,https://addons.mozilla.org/zh-CN/firefox/addon/bit-webvpn-converter/,YDX-2147483647/bit-webvpn-converter-web-extension,edu-cn,['Web'],https://github.com/YDX-2147483647/bit-webvpn-converter-web-extension,,2022-11-12 13:43:24,2023-07-10 14:25:23,2023-07-10 14:25:22,18.0,,,1.0,,1.0,,,,,,,,BIT WebVPN URL 双向转换器。 （浏览器扩展）.,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,BIT CAS login,https://gitee.com/felinae98/BIT-CAS-login,,misc,['python'],,GPL-3.0,2018-01-10 14:41:27,2020-12-19 13:26:52,,,,0.0,1.0,,,,,,,,,,login to login.bit.edu.cn.,,2,False,2.0,,,,,,felinae98/BIT-CAS-login,https://gitee.com/felinae98/BIT-CAS-login,,,,,,,,,,,,,,,,,,,,
127,bit_jwc,https://github.com/haohaolalahao/bit_jwc,haohaolalahao/bit_jwc,academic,['python'],https://github.com/haohaolalahao/bit_jwc,,2017-12-21 09:13:18,2018-01-02 00:45:08,2018-01-02 00:45:07,9.0,,1.0,1.0,,,,,,,,,,成绩查询、考试信息查询、一键评教。.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,学生事务中心办事指南,https://howto.info.bit.edu.cn/,,agg,,,CC BY 4.0,,2021-11-26,,,,,,,,,,,,,,,“办事指南” DokuWiki 站点，由北京理工大学学生事务中心建立，目前处于试运行阶段。.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,helping-check-answer,https://greasyfork.org/scripts/367662-helping-check-answer,,misc,['web'],,,2018-05-07 16:05:09,2018-05-07 16:07:38,,,,,,,,,,,,,,,形势政策答题查询.,,2,False,2.0,,,,,,,,,,,,,367662.0,https://greasyfork.org/scripts/367662,https://update.greasyfork.org/scripts/367662/helping-check-answer.user.js,1014.0,5.0,,,,,,,,,,
130,BIT-Moodle-Video-Speed-Up,https://greasyfork.org/scripts/396818-bit-moodle-video-speed-up,,academic,['web'],,,2020-02-24 07:32:06,2020-02-24 07:32:06,,,,,,,,,,,,,,,北理乐学视频倍率播放.,,2,False,3.0,,,,,,,,,,,,,396818.0,https://greasyfork.org/scripts/396818,https://update.greasyfork.org/scripts/396818/BIT-Moodle-Video-Speed-Up.user.js,148.0,5.0,,,,,,,,,,
131,北理乐学视频下载助手,https://greasyfork.org/scripts/422933-%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD%E5%8A%A9%E6%89%8B,,academic,['web'],,,2021-03-09 09:02:21,2021-03-09 09:02:21,,,,,,,,,,,,,,,将课程列表的播放页面链接替换成视频文件下载链接！.,,2,False,3.0,,,,,,,,,,,,,422933.0,https://greasyfork.org/scripts/422933,https://update.greasyfork.org/scripts/422933/%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD%E5%8A%A9%E6%89%8B.user.js,18.0,5.0,,,,,,,,,,
132,BIT-Moodle-Theme-Enhance,https://greasyfork.org/scripts/397151-bit-moodle-theme-enhance,fky2015/BIT-Moodle-dracula-Theme,academic,['web'],https://github.com/fky2015/BIT-Moodle-dracula-Theme,,2020-02-22 16:24:19,2020-03-03 04:24:59,2020-03-03 04:24:51,11.0,,,2.0,,,,,,,,,,provide mordern theme design for moodle system.,,2,False,3.0,,,,,,,,,,,,,397151.0,https://greasyfork.org/scripts/397151,https://update.greasyfork.org/scripts/397151/BIT-Moodle-Theme-Enhance.user.css,26.0,5.0,,,,,,,,,,
133,北理乐学美化,https://greasyfork.org/scripts/415353-%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E7%BE%8E%E5%8C%96,,academic,['web'],,,2020-11-03 04:17:44,2020-11-03 04:17:44,,,,,,,,,,,,,,,优化乐学的显示界面.,,2,False,3.0,,,,,,,,,,,,,415353.0,https://greasyfork.org/scripts/415353,https://update.greasyfork.org/scripts/415353/%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E7%BE%8E%E5%8C%96.user.js,10.0,5.0,,,,,,,,,,
